Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
2184,NW2206E ,Ms N Tafeni ,EFF ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2185,NW2207E,Ms N Tafeni ,EFF ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2186,NW2208E,Dr S S Thembekwayo ,EFF ,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2187,NW2209E,Dr S S Thembekwayo ,EFF ,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2188,NW2210E,Ms M S Letlape ,EFF ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2189,NW2212E,Mr S Thambo ,EFF ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2190,NW2213E,Mr S Thambo ,EFF ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2191,NW2216E,Ms B Mathulelwa ,EFF ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2192,NW2218E,Mr N I Nxumalo,MK ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2193,NW2223E,Mr V G Reddy ,MK ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2194,NW2229E,Mr S S Zibi ,Rise Mzansi ,"Trade, Industry and Competition","Friday, May 09, 2025","Friday, May 23, 2025","Monday, July 07, 2025",Late,A,,
2195,NW2251E,Mr K P Sithole,IFP ,Communications and Digital Technologies,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 10, 2025",Late,A,,
2196,NW2253E,Ms N H Mhlongo ,IFP ,Mineral and Petroleum Resources,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2197,NW2258E,Mr K P Sithole ,IFP ,Minister in The Presidency,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, July 17, 2025",Late,A,,
2198,NW2321E,Mrs D van der Walt ,DA ,Higher Education,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, June 04, 2025",Late,A,,
2199,NW2346E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2200,NW2401,Ms S Gcilishe ,EFF ,Justice and Constitutional Development,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 10, 2025",Late,A,,
2201,NW2402E,Ms S Gcilishe ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2202,NW2420E,Ms P Marais ,EFF ,Social Development,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2203,NW2425E,Ms N R Mashabela ,EFF ,Tourism,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2204,NW2463E,Ms T L Marawu ,ATM ,Health,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2205,NW2464E,Ms H Ismail ,DA ,Tourism,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2206,NW2467E,Mr M Manyi ,MK ,Mineral and Petroleum Resources,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2207,NW2468E,Mr M Manyi ,MK ,Defence and Military Veterans,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, July 09, 2025",Late,A,,
2208,NW2471E,Ms N H Mhlongo ,IFP ,Electricity and Energy,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 12, 2025",Late,A,,
2209,NW2472E,Ms N H Mhlongo ,IFP ,Mineral and Petroleum Resources,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, July 18, 2025",Late,A,,
2210,NW2474E,Mr K P Sithole ,IFP ,Communications and Digital Technologies,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 19, 2025",Late,A,,
2211,NW2476E,Inkosi N Z Buthelezi ,IFP ,Cooperative Governance and Traditional Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2212,NW2477E,Mr T M Langa ,IFP ,Public Service and Administration,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2213,NW2478E,Mr T M Langa ,IFP ,"Trade, Industry and Competition","Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2214,NW2479E,Ms B E Machi ,IFP ,Social Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 23, 2025",Late,A,,
2215,NW2480E,Mr S L Ngcobo ,IFP ,Basic Education,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2216,NW2481E,Mr S L Ngcobo ,IFP ,Public Works and Infrastructure,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 23, 2025",Late,A,,
2217,NW2482E,Ms L L van der Merwe ,IFP ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2218,NW2483E,Ms L L van der Merwe ,IFP ,"Women, Youth and Persons with Disabilities","Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 20, 2025",Late,A,,
2219,NW2484E,Ms L L van der Merwe ,IFP ,Basic Education,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 02, 2025",Late,A,,
2220,NW2485E,Mr M A Mncwango ,IFP ,Land Reform and Rural Development,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2221,NW2486E,Mr S S Zondo ,IFP ,"Science, Technology and Innovation","Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2222,NW2487E,Mr B N Luthuli ,IFP ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2223,NW2488E,Inkosi N Z Buthelezi ,IFP ,"Planning, Monitoring and Evaluation","Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 23, 2025",Late,A,,
2224,NW2489E,Mrs N J Nolutshungu ,EFF ,Public Works and Infrastructure,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 23, 2025",Late,A,,
2225,NW2490E,Mrs N J Nolutshungu ,EFF ,Human Settlements,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2226,NW2491E,Mrs N J Nolutshungu ,EFF ,Finance,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2227,NW2492E,Ms O M C Maotwe ,EFF ,Finance,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2228,NW2493E,Ms O M C Maotwe ,EFF ,Finance,"Friday, May 09, 2025","Friday, June 06, 2025","Monday, June 30, 2025",Late,A,Extension requested,
2229,NW2494E,Mr S Thambo ,EFF,Finance,"Friday, May 09, 2025","Friday, June 06, 2025","Friday, June 06, 2025",Timeous,A,Extension requested,
2230,NW2495E,Ms N V Mente-Nkuna ,EFF ,Basic Education,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2231,NW2496E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2232,NW2497E,Mr C G Niehaus ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, July 30, 2025",Late,A,,
2233,NW2498E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 03, 2025",Late,A,,
2234,NW2499E,Ms N Tafeni ,EFF ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2235,NW2500E,Ms N Tafeni ,EFF ,Health,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2236,NW2501E,Ms N Tafeni ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, October 09, 2025",Late,A,,
2237,NW2503E,Ms M S Letlape ,EFF ,Public Works and Infrastructure,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, June 11, 2025",Late,A,,
2238,NW2504E,Ms M S Letlape ,EFF ,Public Works and Infrastructure,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, June 11, 2025",Late,A,,
2239,NW2505E,Mr M B Blose ,EFF ,Home Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 10, 2025",Late,A,,
2240,NW2509E,Ms N R Mashabela ,EFF ,Transport,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2241,NW2510E,Ms N R Mashabela ,EFF ,Tourism,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 20, 2025",Late,A,,
2242,NW2512E,Mr C Matiwane ,EFF ,Electricity and Energy,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, June 25, 2025",Late,A,,
2243,NW2513E,Ms M R Mohlala ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2244,NW2514E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 10, 2025",Late,A,,
2245,NW2515E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 27, 2025",Late,A,,
2246,NW2516E,Mrs L F Tito ,EFF ,Tourism,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2247,NW2517E,Mrs L F Tito ,EFF ,Tourism,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2248,NW2518E,Dr S S Thembekwayo ,EFF ,"Science, Technology and Innovation","Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 30, 2025",Late,A,,
2249,NW2519E,Mr C Matiwane ,EFF ,Cooperative Governance and Traditional Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2250,NW2520E,Mr C Matiwane ,EFF ,Cooperative Governance and Traditional Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2251,NW2521E,Mr L M Komane ,EFF ,Transport,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2252,NW2522E,Mr T P Mogale ,EFF ,Justice and Constitutional Development,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2253,NW2523E,Mr T P Mogale ,EFF ,Home Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 20, 2025",Late,A,,
2254,NW2524E,Mr T P Mogale ,EFF ,Transport,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2255,NW2525E,Mr E Mthethwa ,EFF,"Sport, Arts and Culture","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2256,NW2526E,Mr E Mthethwa ,EFF ,"Sport, Arts and Culture","Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2257,NW2527E,Ms C N Mkhonto ,EFF ,Justice and Constitutional Development,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, July 17, 2025",Late,A,,
2258,NW2528E,Ms M Dlamini ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2259,NW2529E,Ms M Dlamini ,EFF ,Human Settlements,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 27, 2025",Late,A,,
2260,NW2530E,Ms M Dlamini ,EFF ,International Relations and Cooperation,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 30, 2025",Late,A,,
2261,NW2531E,Ms L Managa ,EFF ,"Forestry, Fisheries and the Environment","Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 21, 2025",Timeous,A,,
2262,NW2532E,Ms L Managa ,EFF ,"Forestry, Fisheries and the Environment","Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 21, 2025",Timeous,A,,
2263,NW2533E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, July 18, 2025",Late,A,,
2264,NW2534E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 20, 2025",Late,A,,
2265,NW2535E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 20, 2025",Late,A,,
2266,NW2536E,Mr M K Montwedi ,EFF ,Agriculture,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 02, 2025",Late,A,,
2267,NW2537E,Mr M K Montwedi ,EFF ,Cooperative Governance and Traditional Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2268,NW2538E,Mr M K Montwedi ,EFF ,Agriculture,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 02, 2025",Late,A,,
2269,NW2539E,Ms T J Mokwele ,EFF ,Social Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, July 14, 2025",Late,A,,
2270,NW2540E,Ms B K Diale ,EFF ,Correctional Services,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2271,NW2541E,Ms M S Khawula ,EFF ,Human Settlements,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 27, 2025",Late,A,,
2272,NW2542E,Ms M S Khawula ,EFF ,Human Settlements,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2273,NW2543E,Ms M S Khawula ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2274,NW2544E,Mr S Lonzi ,EFF ,Higher Education,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 13, 2025",Late,A,,
2275,NW2545E,Mr S Lonzi ,EFF ,Higher Education,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 13, 2025",Late,A,,
2276,NW2546E,Ms P Marais ,EFF ,Employment and Labour,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2277,NW2547E,Ms P Marais ,EFF ,Social Development,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2278,NW2548E,Ms B Mathulelwa ,EFF ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2279,NW2549E,Ms B Mathulelwa ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2280,NW2550E,Ms B Mathulelwa ,EFF ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2281,NW2551E,Mr R A P Trollip ,ActionSA  ,Agriculture,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2282,NW2552E,Mr R A P Trollip ,ActionSA  ,Higher Education,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 13, 2025",Late,A,,
2283,NW2553E,Mr L M Ngobeni ,ActionSA  ,Home Affairs,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2284,NW2554E,Mr L M Ngobeni ,ActionSA  ,Communications and Digital Technologies,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 05, 2025",Late,A,,
2285,NW2556E,Dr T K S Letlape ,ActionSA  ,"Sport, Arts and Culture","Friday, May 09, 2025","Friday, June 06, 2025","Friday, May 30, 2025",Timeous,A,Extension requested,
2286,NW2557E,Dr T K S Letlape ,ActionSA  ,Health,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 05, 2025",Late,A,,
2287,NW2558E,Dr T K S Letlape ,ActionSA  ,Higher Education,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 13, 2025",Late,A,,
2288,NW2559E,Ms D E James ,ActionSA  ,Public Works and Infrastructure,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 24, 2025",Late,A,,
2289,NW2560E,Ms D E James ,ActionSA  ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, August 21, 2025",Late,A,,
2290,NW2561E,Ms D E James ,ActionSA  ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, July 30, 2025",Late,A,,
2291,NW2562E,Ms M P Kobe ,ActionSA  ,Water and Sanitation,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 27, 2025",Late,A,,
2292,NW2563E,Ms M P Kobe ,ActionSA  ,Water and Sanitation,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 02, 2025",Late,A,,
2293,NW2564E,Ms M P Kobe ,ActionSA  ,Public Works and Infrastructure,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 23, 2025",Late,A,,
2294,NW2565E,Mr A D Beesley ,ActionSA  ,"Forestry, Fisheries and the Environment","Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 21, 2025",Timeous,A,,
2295,NW2566E,Mr A D Beesley ,ActionSA  ,"Sport, Arts and Culture","Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2296,NW2567E,Mr A D Beesley ,ActionSA  ,Transport,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2297,NW2569E,Mr R A P Trollip ,ActionSA  ,Finance,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2298,NW2570E,Mr S M Gana ,Rise Mzansi ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2299,NW2572E,Mr T P Mogale ,EFF ,Home Affairs ,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, July 10, 2025",Late,A,,
2300,NW2575E,Ms N M Mhlongo ,EFF ,International Relations and Cooperation ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 30, 2025",Late,A,,
2301,NW2577E,Mr C G Niehaus ,EFF ,Defence and Military Veterans ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2302,NW2578E,Ms B K Diale ,EFF ,Correctional Services ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2303,NW2579E,Ms B K Diale ,EFF ,Correctional Services ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2304,NW2580E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 27, 2025",Late,A,,
2305,NW2581E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 27, 2025",Late,A,,
2306,NW2583E,Ms L Mathys ,EFF ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, January 07, 2026",Late,A,,
2307,NW2584E,Mr V Zungula ,ATM ,Public Service and Administration,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 27, 2025",Late,A,,
2308,NW2585E,Ms T L Marawu ,ATM ,Health,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2309,NW2590E,Inkosi R N Cebekhulu ,IFP ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 19, 2025",Late,A,,
2311,NW2591E,Mr K P Sithole ,IFP ,International Relations and Cooperation,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 30, 2025",Late,A,,
2312,NW2592E,Inkosi R N Cebekhulu ,IFP ,Defence and Military Veterans ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2313,NW2594E,Mr M V Daniels ,PA ,Correctional Services ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2314,NW2599E,Ms M L Mathopa ,PA ,Home Affairs ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 03, 2025",Late,A,,
2315,NW2600E,Ms M L Mathopa ,PA ,Home Affairs ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, August 11, 2025",Late,A,,
2316,NW2602E,Ms J S Peterson ,PA ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, August 14, 2025",Late,A,,
2317,NW2603E,Ms L M Ngobeni ,ActionSA  ,Home Affairs ,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, May 29, 2025",Late,A,,
2318,NW2604E,Mr R A P Trollip ,ActionSA  ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2319,NW2605E,Ms D E James ,ActionSA  ,Correctional Services ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2320,NW2608E,Mr S G Mwali ,MK ,Correctional Services ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2321,NW2609E,Mr W M Douglas ,MK ,International Relations and Cooperation ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2322,NW2610E,Mr W M Douglas ,MK ,International Relations and Cooperation ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2323,NW2613E,Mr S Nomvalo ,MK ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2324,NW2614E,Mr S Nomvalo ,MK ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 27, 2025",Late,A,,
2325,NW2615E,Mr D M Skosana ,MK,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, July 11, 2025",Late,A,,
2326,NW2616E,Mr D M Skosana ,MK ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2327,NW2617E,Mr C V Shongwe ,MK ,Police ,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, August 21, 2025",Late,A,,
2328,NW2618E,Mr M M Gasa ,MK ,Correctional Services ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 19, 2025",Timeous,A,,
2329,NW2619E,Mr J S Ngubane ,MK ,Home Affairs ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, June 06, 2025",Late,A,,
2330,NW2621E,Mr M A Maimane ,BOSA ,International Relations and Cooperation ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 30, 2025",Late,A,,
2331,NW2622E,Mrs N L Hlazo-Webster ,BOSA ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2332,NW2623E,Rev K R J Meshoe ,ACDP ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Wednesday, May 28, 2025",Late,A,,
2333,NW2626E,Ms N E Motaung ,ANC ,Justice and Constitutional Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 10, 2025",Late,A,,
